Timestamp,RTU11_SfSts,RTU11_SfVfd(%),RTU11_SpcTStairW(°F),RTU12_DmprStairE(%),RTU12_SpcTStairE(°F)
21-Mar-19 10:00:01 pm,,34.40,68.67,0.00,69.89
18-Nov-18 7:45:00 pm,,33.09,58.59,0.00,59.33
14-Feb-19 2:15:00 pm,,32.94,67.65,0.00,67.48
23-Feb-19 9:05:00 pm,,36.30,62.28,0.00,63.49
03-Mar-19 3:55:00 pm,,30.87,52.90,0.00,64.45
15-Nov-18 3:15:00 pm,,39.72,72.45,0.00,68.65
25-Jan-19 8:35:00 am,,32.51,56.55,0.00,59.57
27-Feb-19 5:10:00 am,,33.69,58.32,0.00,63.52
30-Nov-18 9:00:00 am,,32.69,63.39,0.00,65.70
12-Feb-19 1:20:00 pm,,35.61,68.39,0.00,66.82
20-Apr-19 4:45:00 am,,34.09,70.50,0.00,70.79
07-Dec-18 7:30:00 pm,,33.89,61.32,0.00,65.48
18-Apr-19 1:55:00 am,,33.27,69.01,0.00,69.33
09-May-19 11:35:00 am,,33.86,72.15,0.00,69.87
25-Jan-19 5:35:01 pm,,,,0.00,63.02
11-Feb-19 1:05:00 am,,32.42,57.48,0.00,59.53
06-Dec-18 7:15:00 am,,31.96,61.88,0.00,64.52
18-Mar-19 7:45:00 am,,33.40,64.18,0.00,66.32
10-Jan-19 4:45:00 am,,33.32,60.28,0.00,61.66
18-Jan-19 1:10:05 am,,32.97,61.24,,
03-Dec-18 10:05:00 am,,34.48,63.07,,
25-Feb-19 12:05:00 am,,33.31,56.41,0.00,60.33
10-Jan-19 6:10:01 pm,,33.89,64.50,0.00,65.86
18-Mar-19 4:45:01 pm,,36.71,70.85,0.00,70.37
30-Apr-19 8:30:00 pm,,32.05,69.70,0.00,69.85
01-Jan-19 2:20:00 am,,33.16,58.82,0.00,61.00
08-Jan-19 6:20:00 am,,34.68,63.54,0.00,65.34
08-Mar-19 7:05:00 pm,,34.50,67.50,0.00,68.36
12-Jan-19 3:40:01 am,,,,0.00,63.28
03-Feb-19 7:55:00 pm,,33.90,63.16,0.00,63.29
22-Mar-19 9:10:00 am,,37.46,67.76,0.00,71.17
14-Mar-19 6:00:00 am,,35.40,68.00,0.00,67.89
03-May-19 12:20:00 am,,34.56,70.11,0.00,69.85
17-Apr-19 8:05:00 pm,,34.58,70.05,0.00,69.82
29-Apr-19 4:00:00 am,,35.45,69.91,0.00,70.77
17-Jan-19 8:45:00 am,,34.03,62.23,0.00,64.20
26-Jan-19 8:50:00 am,,34.37,55.62,0.00,56.93
26-Nov-18 7:35:00 am,,32.80,61.11,0.00,62.38
14-Jan-19 7:35:00 am,,35.21,62.21,0.00,63.93
21-Mar-19 11:55:00 pm,,34.40,68.19,0.00,69.47
17-Dec-18 8:15:00 pm,,34.51,65.79,0.00,67.42
02-Jan-19 9:20:00 am,,35.99,59.70,0.00,62.10
28-Nov-18 1:45:00 pm,,35.49,64.61,0.00,65.92
16-Jan-19 1:45:00 am,,33.28,61.88,0.00,64.13
23-Nov-18 10:15:00 pm,,35.06,64.38,0.00,66.24
23-Apr-19 11:45:00 pm,,35.08,71.73,0.00,71.07
03-Mar-19 5:00:00 pm,,31.64,52.38,0.00,64.39
22-Nov-18 4:45:00 pm,,32.99,62.33,0.00,65.23
15-Apr-19 7:10:00 pm,,68.98,71.70,0.00,69.63
10-Jan-19 4:45:00 pm,,33.56,65.70,0.00,66.23
11-Nov-18 8:10:00 am,,32.88,57.54,0.00,58.87
07-Feb-19 7:45:01 am,,33.60,62.53,0.00,65.03
08-May-19 8:45:00 am,,35.00,72.15,0.00,71.19
13-May-19 11:05:00 am,,39.60,72.28,67.35,71.98
08-Apr-19 10:50:00 pm,,34.10,70.69,0.00,70.82
23-Apr-19 7:00:00 am,,32.71,68.84,0.00,70.31
04-Jan-19 3:30:00 am,,34.99,61.13,0.00,64.29
23-Nov-18 6:25:00 am,,36.52,62.59,0.00,64.78
18-Mar-19 10:50:00 am,,49.25,67.29,0.00,71.42
23-Mar-19 1:40:00 pm,,91.43,72.89,0.00,74.63
24-Apr-19 4:15:00 am,,31.88,71.17,0.00,70.69
06-Mar-19 6:10:00 pm,,33.38,66.32,0.00,67.91
06-Jan-19 7:45:00 pm,,36.40,63.50,0.00,63.52
15-Jan-19 7:50:00 am,,34.83,61.83,0.00,64.80
03-Jan-19 3:15:00 am,,35.25,59.26,0.00,61.90
22-Apr-19 12:25:00 am,,34.29,71.06,32.31,73.63
16-Apr-19 1:05:00 am,,33.59,68.92,0.00,70.04
13-Nov-18 2:20:00 pm,,45.22,67.13,0.00,66.97
24-Nov-18 6:40:00 am,,34.81,63.01,0.00,65.19
28-Jan-19 9:45:00 am,,34.17,57.98,0.00,61.91
19-Feb-19 12:30:00 am,,34.90,59.17,0.00,64.50
11-Dec-18 1:10:00 pm,,34.29,65.96,0.00,66.77
14-Nov-18 12:15:00 pm,,56.73,69.40,0.00,67.73
30-Dec-18 5:20:00 pm,,35.15,59.56,0.00,59.36
30-Nov-18 7:55:00 pm,,34.28,63.70,0.00,66.51
28-Dec-18 2:30:00 am,,32.69,63.16,0.00,64.56
04-Apr-19 6:10:00 pm,,33.24,69.31,0.00,69.88
22-Feb-19 2:05:00 am,,32.79,61.33,0.00,65.60
05-Mar-19 5:50:00 am,,32.57,55.09,0.00,63.73
02-Apr-19 11:55:00 am,,36.64,72.14,0.00,71.35
04-May-19 2:35:00 am,,35.74,69.98,0.00,71.11
06-Feb-19 12:00:00 pm,,35.85,66.07,0.00,65.61
11-May-19 5:10:00 pm,,34.30,71.85,0.00,76.47
